LeaseNumber,City,Address,State,Lat,Long,AnnualRent,LeaseName,Status
LCT04622,NEW HAVEN,55 Church St,CT,41.30504,-72.926021,326173,"45-55 CHURCH STREET, LLC",
LCT04517,NEW BRITAIN,233 MAIN STREET,CT,41.66898,-72.78136,138696,"COMMUNITY MENTAL HEALTH AFFILIATES, INC.",
LCT04509,STAMFORD,888 WASHINGTON STREET,CT,41.05244,-73.54231,66373,"STAMFORD, CITY OF",
LCT04469,EAST HARTFORD,474-484 BURNSIDE AVENUE,CT,41.778152,-72.61936,207445,SHAFA BUILDING LLC,
LCT04552,ANSONIA,475 MAIN ST,CT,41.3381922,-73.077235,124345,AGS Ansonia LLC,
LCT04676,WALLINGFORD,97 BARNES RD,CT,41.48487,-72.802771,69301,"SKF 97 Barnes , LLC",
LCT04832,WALLINGFORD,97 BARNES RD,CT,41.48487,-72.802771,67461,"SKF 97 BARNES, LLC",
LCT04951,ORANGE,291 S LAMBERT RD,CT,41.26257,-73.005121,184801,"SUNNY LEDGE GROUP, LLC",
LCT04745,NORWALK,761 MAIN AVE,CT,41.15977,-73.421211,727589,i.park Norwalk II LLC,
LCT04831,WATERBURY,51 N ELM ST,CT,41.55601,-73.037021,372539,"51 NORTH ELM, LLC",
LCT04847,HARTFORD,280 TRUMBULL ST,CT,41.76815,-72.674521,143101,"GRUNBERG 280 TRUMBULL, LLC",
LCT04871,STAMFORD,850 CANAL ST,CT,41.04359,-73.531741,903222,"CANAL STREET PARTNERS, LLC",
LCT04891,GROTON,15 THAMES ST,CT,41.36261,-72.084181,83490,19 Thames Street Partnership,
LCT04500,BRIDGEPORT,35 COURTLAND ST,CT,41.1758529,-73.193796,463187,"COURTLAND STREET PARTNERS, LLC",
LCT04797,NORWICH,55 MAIN ST,CT,41.52424,-72.078691,193725,Norwich Community Development Corp,
LCT04746,NORWALK,111 EAST AVE,CT,41.11418,-73.407211,23980,MELBOURNE REALTY COMPANY LLC,
LCT04911,WINDSOR LOCKS,Bradley Field,CT,41.903259,-72.648688,294539,CONNECTICUT AIRPORT AUTHORITY,
LCT04895,MERIDEN,321 Research Pkwy,CT,41.51807,-72.765061,151203,SIEBAR MERIDEN LLC,
LCT00264,HARTFORD,380 Sheldon St,CT,41.7597,-72.667141,7200,"Connecticut Light And Power Company, The",
LMA04905,EVERETT,34 MARKET ST,MA,42.3925509,-71.052112,70679,BOSTON MARKET TERMINAL CO,
LMA04308,LYNN,140 UNION ST,MA,42.4670432,-70.941516,220876,140 UNION LLC,
LMA04678,BURLINGTON,12 New England Executive Park,MA,42.48359,-71.209101,3989608,NEEP Investors Holdings LLC,
LMA04518,HANOVER,198 Columbia Rd,MA,42.11388,-70.818001,250798,"KELLY,JAMES P",
LMA04663,AMHERST,463 WEST ST,MA,42.3406832,-72.52007,65767,"Amherst Office Park, LLC",
LMA04120,STONEHAM,1 Montvale Ave,MA,42.4821203,-71.100316,939733,GPT PROPERTIES TRUST,
LMA04521,STONEHAM,1 Montvale Ave,MA,42.4821203,-71.100316,1243425,GPT PROPERTIES TRUST,
LMA04297,FALMOUTH,11 Woods Hole Rd,MA,41.5514298,-70.627804,234795,GREENGATE APARTMENT INC,
LMA04749,HYANNIS,270 COMMUNICATION WAY,MA,41.68253,-70.294941,26769,"HYANNIS OFFICE PARK CENTER, LLC",
LMA04744,BRAINTREE,639 Granite St,MA,42.2096,-71.021481,130661,639 GRANITE LLC,
LMA04762,METHUEN,13 Branch St,MA,42.70646,-71.212521,193553,"BROOKS PROPERTIES I, LLC",
LMA04310,BOSTON,1 CONGRESS ST,MA,42.3627562,-71.058803,1464660,Bulfinch Unit A Owner LLC,
LMA04213,BOSTON,15 NEW CHARDON ST,MA,42.36182,-71.062171,2082098,Reep-ofc One Bowdoin Square Ma LLC,
LMA04836,BOSTON,10 Malcolm X Blvd,MA,42.32934,-71.086571,416553,Fairfield Cennter LLC,
LMA04184,HYANNIS,20 Industrial Blvd,MA,41.68549,-70.303281,203474,KIDDS HILL ROAD LLC.,
LMA04189,NEW BEDFORD,850 Pleasant St,MA,41.63911,-70.926341,306917,Melville Towers Limited Partnership,
LMA00142,SPRINGFIELD,1 Federal St,MA,42.1090802,-72.577726,20562,SPRINGFIELD TECHNICAL COMMUNITY COLLEGE ASSISTANCE CORPORATION,
LMA04279,WORCESTER,446 MAIN ST,MA,42.26314,-71.802961,121357,"SOVEREIGN BANK, INC",
LMA04289,WORCESTER,446 MAIN ST,MA,42.26314,-71.802961,286422,"SOVEREIGN BANK, INC",
LMA04226,BOSTON,88 BLACK FALCON AVE,MA,42.3439413,-71.028071,393608,"DIV Black Falcon, LLC",
LMA04937,CHELSEA,70 EVERETT AVE,MA,42.39315,-71.039161,85737,70 HARBOUR POINTE LLC,
LMA04827,HADLEY,300 Westgate Center Dr,MA,42.35895,-72.540821,1430242,AMHERST DEVELOPMENT PARTNERS,
LMA04529,SUTTON,156 Worcester Providence Tpke,MA,42.1607687,-71.737614,84822,"Route 146 Sutton, LLC",
LMA03843,WORCESTER,120 FRONT ST,MA,42.2621562,-71.79967,94942,"120 FRONT STREET OWNER ASSOCIATES, LLC",
LMA04638,WORCESTER,120 FRONT ST,MA,42.2621562,-71.79967,289723,"120 FRONT STREET OWNER ASSOCIATES, LLC",
LMA04809,WORCESTER,120 FRONT ST,MA,42.2621562,-71.79967,353300,"120 FRONT STREET OWNER ASSOCIATES, LLC",
LMA04825,WORCESTER,120 FRONT ST,MA,42.2621562,-71.79967,94172,"120 FRONT STREET OWNER ASSOCIATES, LLC",
LMA04715,BOSTON,99 Summer St,MA,42.35372,-71.058221,169885,"99 SUMMER OWNER, L.L.C.",
LMA04232,LAWRENCE,439 S UNION ST,MA,42.69077,-71.154861,199497,Heritage Place LLC,
LMA04808,LAWRENCE,439 S UNION ST,MA,42.69077,-71.154861,186324,Heritage Place LLC,
LMA05009,LAWRENCE,439 S UNION ST,MA,42.69077,-71.154861,109632,Heritage Place LLC,
LMA04532,SPRINGFIELD,1441 MAIN ST,MA,42.10292,-72.590821,261399,"SIS CENTER, INC",
LMA04541,SPRINGFIELD,1441 MAIN ST,MA,42.10292,-72.590821,85942,"SIS CENTER, INC",
LMA04585,SPRINGFIELD,1441 MAIN ST,MA,42.10292,-72.590821,313533,"SIS CENTER, INC",
LMA04599,SPRINGFIELD,1441 MAIN ST,MA,42.10292,-72.590821,125162,"SIS CENTER, INC",
LMA04756,PITTSFIELD,CONTE DR,MA,42.415352,-73.266241,782211,"ELMAN PITTSFIELD ASSOCIATES, LLC",
LMA04936,WORCESTER,90 MADISON ST,MA,42.25788,-71.802461,465333,SZETO LANDMARK REALTY INC,
LMA05025,LOWELL,900 CHELMSFORD ST,MA,42.61476,-71.325231,1275412,CH LH CrossPoint Owner LLC,
LMA04482,QUINCY,1 Batterymarch Park,MA,42.2335381,-71.028771,83082,"NATIONAL FIRE PROTECTION ASSOCIATION, INC.",
LMA04525,TAUNTON,104 Dean St,MA,41.90512,-71.075011,21879,WATERFRONT REALTY TRUST,
LMA04630,TAUNTON,104 Dean St,MA,41.90512,-71.075011,98835,WATERFRONT REALTY TRUST,
LMA05064,TAUNTON,104 Dean St,MA,41.90512,-71.075011,163470,WATERFRONT REALTY TRUST,
LMA04716,LOWELL,10 George St,MA,42.64227,-71.305721,30094,GATEWAY CENTER CORP,
LMA04458,SPRINGFIELD,1441 MAIN ST,MA,42.10292,-72.590821,274683,"SIS CENTER, INC",
LMA04627,LOWELL,325 CHELMSFORD ST,MA,42.63062,-71.321591,40579,SHAW CORP.,
LMA04508,LOWELL,59 Lowes Way,MA,42.61888,-71.321631,512422,"CONNECTOR PARK EQUITY PARTNERS, LLC",
LMA04679,LOWELL,59 Lowes Way,MA,42.61888,-71.321631,407034,"CONNECTOR PARK EQUITY PARTNERS, LLC",
LMA04014,CONCORD,696 VIRGINIA RD,MA,42.46371,-71.302951,3229266,Virginia Road LLC,
LMA04934,WALTHAM,411 WAVERLEY OAKS RD,MA,42.38707,-71.202061,66853,DUFFY ASSOCIATES LLC,
LMA04833,QUINCY,1250 HANCOCK ST,MA,42.25223,-71.003261,68533,"Quincy Property Owner I, LLC",
LMA04618,NORTHBOROUGH,10 Bearfoot Rd,MA,42.34363,-71.624991,291302,Ten Bear LLC,
LMA04593,BRIGHTON,221 N BEACON ST,MA,42.35678,-71.149281,108721,BOSTON LANDING LLC,
LMA04602,ATTLEBORO,106 Pleasant St,MA,41.94806,-71.279171,199058,WATERFRONT REALTY TRUST,
LMA04968,WILMINGTON,1 PROGRESS WAY,MA,42.52976,-71.139171,717060,One Progress Way LLC,
LMA04098,NORTH CHELMSFORD,11 Technology Dr,MA,42.6276226,-71.362324,2594684,"ACQUEST GOVERNMENT HOLDINGS, L.L.C.",
LMA04494,BEVERLY,101 CUMMINGS CTR,MA,42.559017,-70.886972,31748,W. S. CUMMINGS REALTY,
LMA05006,SOUTHBOROUGH,Park St,MA,42.3049688,-71.523793,243748,curo turnpike southboro llc,
LMA04793,LOWELL,151 WARREN STREET,MA,42.6421334,-71.305149,432351,AMERICAN STONEHENGE REALTY TRUST,
LMA04844,HOLYOKE,210 HIGH ST,MA,42.20718,-72.607161,319138,MAP DEVELOPMENT LLC,
LMA04539,CHELSEA,160-180 Second Street,MA,42.393701,-71.043283,124850,Second Street Limited Partnership,
LMA04818,CHELSEA,160-180 Second Street,MA,42.393701,-71.043283,274226,SECOND STREET LIMITED PARTNERSHIP,
LMA04804,EAST FALMOUTH,48 RESEARCH RD,MA,41.61186,-70.613011,177072,CAPE MORAINE LLC,
LMA04262,HYANNIS,480 BARNSTABLE RD,MA,41.66913,-70.279051,40032,"BARNSTABLE, TOWN OF",
LMA04528,NANTUCKET,14 AIRPORT ROAD,MA,41.2824727,-70.061846,51775,"NANTUCKET, COUNTY OF",
LMA05058,NORWOOD,1 Edgewater Dr,MA,42.16182,-71.201501,151589,"180-194 WFST, LLC",
LMA04292,BOSTON,99 HIGH ST,MA,42.3545703,-71.054559,1582945,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,
LMA04674,BOSTON,99 HIGH ST,MA,42.3545703,-71.054559,2706464,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,
LMA04759,BOSTON,99 HIGH ST,MA,42.3545703,-71.054559,130460,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,
LMA05022,NORTH ANDOVER,97 COMMERCE WAY,MA,42.71801,-71.124201,77838,Jet Center Realty LLC,
LMA05007,SPRINGFIELD,70 Bond St,MA,42.11112,-72.598911,562521,CAREW STREET DEVELOPMENT LLC,
LMA04773,WESTWOOD,364 UNIVERSITY AVE,MA,42.1991964,-71.155678,41739,UNIAVE TWO LLC,
LMA04400,BOSTON,115-117 FREEPORT STREET,MA,42.304926,-71.056709,306516,STOUGHTON REALTY TRUST,
LMA05032,WOBURN,222 WEST CUMMINGS PARK,MA,42.49918,-71.12851,85989,"ABERJONA VALLEY, LLC",
LMA04430,BURLINGTON,10 NEW ENGLAND EXECUTIVE PARK,MA,42.48502,-71.21076,1863402,MURRAY HILLS INCORPATED,
LMA04444,CHELSEA,45-47 SPRUCE STREET,MA,42.39346,-71.042607,198570,WHARTON REALTY LLC,
LMA05036,MIDDLETON,2 Debush Ave,MA,42.60614,-71.028211,101128,MIDDLETON INDUSTRIAL PARK LLC,
LMA04416,BROCKTON,CHRISTY DRIVE,MA,42.089182,-71.054985,492101,"CHRISTY PLACE, LLC",
LMA04753,VINEYARD HAVEN,71 Airport Rd,MA,41.3891849,-70.612047,26400,"Dukes County, County of",
LMA04718,FRAMINGHAM,1 CLARKS HL,MA,42.28307,-71.404981,311524,YARO ENTERPRISES INC,
LMA04492,LAKEVILLE,30 RIVERSIDE DR,MA,41.87528,-70.920501,247933,Canpro Investments LTD,
LMA04462,SALEM,10 Federal St,MA,42.52358,-70.893951,178111,"Broadfield Properties, LLC",
LMA04496,CHELSEA,201 MAPLE ST,MA,42.3978825,-71.038632,11566460,EMERALD CORPORATE CENTER LLC,
LMA04547,WAKEFIELD,401 Edgewater Pl,MA,42.5228909,-71.042908,257532,401 EDGEWATER LLC,
LMA04899,SUTTON,9 MAIN ST,MA,42.09298,-71.746301,31290,"MANCHAUG MILLS, INC.",
LMA04605,ANDOVER,138 RIVER ROAD,MA,42.690972,-71.210187,130075,"Whetstone 138 Minuteman Park, LLC",
LMA04672,BURLINGTON,50 Burlington Mall Rd,MA,42.48688,-71.206531,69658,"50-54-60 MALL ROAD, LLC",
LMA04514,HANSON,22 Commercial Way,MA,42.0512957,-70.904377,30000,"22 INDUSTRIAL BOULEVARD, LLC",
LMA04620,LAWRENCE,2 MILL STREET,MA,42.706651,-71.156745,1405190,NGP V LAWRENCE MA LLC,
LMA04633,BOSTON,4238 Washington St,MA,42.2858,-71.128331,302611,"4238 WASHINGTON STREET, LLC",
LMA04637,HYANNIS,75 PERSEVERANCE WAY,MA,41.6774,-70.300411,107132,"SWITCH GEARS, LLC",
LMA04668,FAIRHAVEN,67 HUTTLESTON AVE,MA,41.6437,-70.899891,65350,MARK & DENA SALZBERG,
LMA04464,BROCKTON,120 LIBERTY ST,MA,42.05544,-71.061521,442111,"BROPHY RANDOLPH, LLC",
LMA04693,WILMINGTON,300 BALLARDVALE ST,MA,42.5989974,-71.163163,138386,BERKELEY BALLARDVALE LLC,
LMA04601,MALDEN,192-194 COMMERCIAL STREET,MA,42.42071,-71.075437,478456,"Plaza 188 Associates, LLC",
LMA04713,CAMBRIDGE,10 Fawcett St,MA,42.3898,-71.145531,655289,"AG FAWCETT, LLC",
LMA04624,BRIDGEWATER,ONE LAKESHORE CENTER,MA,41.962288,-71.036177,206342,"CLAREMONT BRIDGEWATER I, LLC",
LMA04725,MILFORD,100 MEDWAY RD,MA,42.1484618,-71.492523,215641,HOME NATIONAL REALTY CORPORATION,
LMA04993,SPRINGFIELD,1350 Main St,MA,42.10181,-72.589481,24468,"1350 MAIN STREET, LLC",
LMA04632,BOSTON,51 SLEEPER ST,MA,42.35253,-71.048511,973936,T-C 51 SLEEPER STREET LLC,
LMA04670,SPRINGFIELD,1550 MAIN ST,MA,42.10334,-72.592441,8678,Massachusetts Development Finance Agency,
LMA04822,SPRINGFIELD,1550 MAIN ST,MA,42.10334,-72.592441,228460,Massachusetts Development Finance Agency,
LMA04878,SPRINGFIELD,1550 MAIN ST,MA,42.10334,-72.592441,108928,Massachusetts Development Finance Agency,
LMA04890,SPRINGFIELD,1550 MAIN ST,MA,42.10334,-72.592441,25396,Massachusetts Development Finance Agency,
LMA04754,BOSTON,7 DRYDOCK AVE,MA,42.3445654,-71.036199,144754,5-11 DRYDOCK LLC,
LMA04706,WORCESTER,370 MAIN ST,MA,42.26483,-71.802251,132465,370 Main Street GBB LLC,
LMA04688,NORTH ADAMS,96 MARSHALL ST,MA,42.70277,-73.113501,101859,MASSACHUSETTS MUSEUM OF CONTEMPORARY ART CULTURAL DEVELOPMENT COMMISSION,
LMA04795,BOYLSTON,140 SHREWSBURY ST,MA,42.33414,-71.732771,52347,140 SHREWSBURY ST REALTY TRUST,
LMA04807,EAST FALMOUTH,25 BERNARD E ST JEAN DR,MA,41.6116933,-70.606315,314531,"MARINE BIOLOGICAL LABORATORY, THE",
LMA04669,SPRINGFIELD,95 ASHLEY ST,MA,42.10072,-72.568601,164736,"ASHLEY ASSOCIATES, LLC",
LMA04798,GARDNER,354 MAIN ST,MA,42.5689895,-71.991972,170860,9300 FORZA REAL ESTATE HOLDINGS LLC,
LMA04556,WALTHAM,135 BEAVER ST,MA,42.38375,-71.208121,194421,CLEMATIS LLC,
LMA04828,BROCKTON,928 W CHESTNUT ST,MA,42.055208,-71.053297,48326,MVB LLC,
LMA04981,BOSTON,33 ARCH ST,MA,42.3561,-71.057921,2675028,T-C 33 Arch Street LLC,
LMA04987,WORCESTER,375 AIRPORT DR,MA,42.2708172,-71.869903,3416,Massachusetts Port Authority,
LMA05011,NORTH ANDOVER,1600 Osgood St,MA,42.73045,-71.112951,185962,1600 OSGOOD STREET LLC,
LMA05013,AMHERST,451 West St,MA,42.34133,-72.521001,417439,"Amherst Office Park, LLC",
LMA05020,HOLYOKE,1 SULLIVAN RD,MA,42.18614,-72.638021,4080,ISO NEW ENGLAND INC.,
LMA05021,HYANNIS,100 Independence Dr,MA,41.67391,-70.298801,200418,"Madison Realty Capital, L.P.",
LMA05026,NORTON,46 Commerce Way,MA,41.957595,-71.13792,505630,46 Commerce LLC,
LMA05034,BOSTON,11 CHANNEL ST,MA,42.3450076,-71.037309,225008,99th Regional Support Command,
LMA00023,QUINCY,1515 Hancock Street,MA,42.279731,-71.033361,228021,"Fifteen Fifteen Hancock, LLC",
LMA04943,HOPEDALE,8 Rosenfeld Drive,MA,,,315220,8 Rosenfeld LLC,
LME04735,LUBEC,9 WASHINGTON ST,ME,44.85852,-66.984511,16795,UNITED STATES POSTAL SERVICE,
LME04685,PORTLAND,2 MONUMENT ST,ME,43.66649,-70.245751,169896,800 NORTHERN CORP.,
LME04861,PORTLAND,2 MONUMENT ST,ME,43.66649,-70.245751,554433,800 NORTHERN CORP.,
LME05038,ESTCOURT STATION,Frontier/Estcourt Road,ME,47.1037818,-69.049418,6500,ALLAGASH TIMBERLANDS LP,
LME04696,PORTLAND,550 Forest Ave,ME,43.66831,-70.280861,293350,SSA REALTY LLC,
LME04964,JACKMAN,Baker Lake Rd,ME,45.6733273,-70.266918,33139,Solifor Timberlands Inc,
LME04877,PORTLAND,68 MARGINAL WAY,ME,43.6617596,-70.265588,123104,ATLANTIC BAYSIDE SQUARE LLC,
LME04930,AUGUSTA,196 WHITTEN RD,ME,44.30443,-69.808651,145605,"GALL, EDWARD",
LME04275,AUGUSTA,330 CIVIC CENTER DR,ME,44.35211,-69.797211,131453,Kennebec Savings Bank,
LME04533,PORTLAND,1355 Congress St,ME,43.65915,-70.295481,120276,MAINE SAVINGS FEDERAL CREDIT UNION,
LME04853,KENNEBUNKPORT,CLEMENT HUFF ROAD,ME,43.3717909,-70.439155,27000,"JOANNE L. DICKINSON LIVING TRUST, THE",
LME04640,PORTLAND,510 Congress St,ME,43.65593,-70.260291,645758,"CENTER CITY PLAZA ASSOCIATES, LLC",
LME04880,PORTLAND,100 MIDDLE STREET PLAZA,ME,43.6617909,-70.258627,1032229,ALBANY ROAD-PORTLAND LLC,
LME04147,SOUTH PORTLAND,220 MAINE MALL RD,ME,43.63795,-70.334811,258642,"GMG, LLC",
LME04712,BANGOR,304 Hancock St,ME,44.80313,-68.760451,20780,B&L PROPERTIES LLC,
LME04704,ELLSWORTH,248 State St,ME,44.55141,-68.428271,16563,WILLEY & GRANT,
LME04954,PORTLAND,1 PORTLAND SQ,ME,43.6565,-70.256191,494983,North River IV LLC,
LME04626,FALMOUTH,4 Fundy Rd,ME,43.71816,-70.232161,64971,SECOND FALMOUTH REALTY LLC,
LME04684,PORTLAND,539 CONGRESS ST,ME,43.65599,-70.261881,421050,"HEGA REALTY, LLC",
LME04659,SACO,110 Main St,ME,43.49535,-70.448311,145306,"110 Main Street Holdings, LLC",
LME04910,AUGUSTA,79 LEIGHTON RD,ME,44.32785,-69.817661,91552,J & R ASSOCIATES,
LME03991,SOUTH PORTLAND,176 Gannett Dr,ME,43.63787,-70.358001,547832,INS REALTY LLC,
LME04898,MILBRIDGE,14 WATER ST,ME,44.53835,-67.880521,101452,M L & W Enterprises,
LME05023,PORTLAND,188 NEWBURY ST,ME,43.6594,-70.252771,65100,"CUMBERLAND, COUNTY OF",
LME04690,PORTLAND,100 MIDDLE ST,ME,43.6589,-70.251421,54657,ALBANY ROAD-PORTLAND LLC,
LME05059,PORTLAND,100 MIDDLE ST,ME,43.6589,-70.251421,252719,ALBANY ROAD-PORTLAND LLC,
LME04989,BELFAST,2 FRANKLIN ST,ME,44.42543,-69.007611,57679,"BELFAST, CITY OF",
LME04961,HOULTON,12 KELLERAN ST,ME,46.12333,-67.836511,96270,GARY J HAGAN,
LME05045,EASTPORT,1 Admiral Hamlet Pl,ME,44.906643,-66.984893,327403,Eastport Port Authority,
LME00127,FALMOUTH,12 Victoria Ln,ME,43.75724,-70.320161,6371,SBA TOWERS II LLC,
LME04857,JACKMAN,"Boise Cascade Road, TS10/R17",ME,45.62668,-70.258165,23357,"CLAYTON LAKE WOODLANDS HOLDINGS, LLC",
LME04869,JACKMAN,"96 Mile Golden Road, TS5/R20 WELS",ME,45.571277,-70.143192,18166,"MERRIWEATHER, LLC C/O WAGNER F",
LME04821,PORTLAND,1001 WESTBROOK ST,ME,43.6505807,-70.309629,317921,"PORTLAND, CITY OF",
LME05017,PORTLAND,1 City Ctr,ME,43.6573803,-70.256645,115759,"ONE CITY CENTER ASSOCIATES, LLC",
LME05016,BANGOR,23 Water St,ME,44.79955,-68.771431,40567,Haymarket Associates,
LME00146,SCARBOROUGH,360 US Route 1,ME,43.58626,-70.353931,49230,MAROON GROUP LLC,
LME04566,BAR HARBOR,513 BAR HARBOR RD,ME,44.4804978,-68.366383,25495,"PARADIS AND SHAW, LLC",
LME04616,AUBURN,600 Turner St,ME,44.1169,-70.232111,252175,SIX HUNDRED TURNER STREET LLC,
LME04545,RANGELEY,224 STRATTON RD,ME,44.97616,-70.627131,816974,"ARC GSRNGME001, LLC",
LME04553,WATERVILLE,14 COLBY CIRCLE,ME,44.556899,-69.627182,173109,"Hight Partnership, LLC",
LME04675,PORTLAND,400 CONGRESS ST,ME,43.65876,-70.256821,218893,"A & M PARTNERS, INC.",
LME04677,ORONO,17 GODFREY STREET,ME,44.90099,-68.68462,9693,UNIVERSITY OF MAINE SYSTEM,
LME04546,FORT FAIRFIELD,200 LIMESTONE RD,ME,46.7836,-67.818661,1078126,"ARC GSFFDME001, LLC",
LME04854,OWLS HEAD,169 ASH POINT DR,ME,44.06665,-69.093641,22810,"ASH POINT PROPERTIES, LLC",
LME04766,BANGOR,967 ILLINOIS AVE,ME,44.8195,-68.817281,523493,"HAGAN, GARY J",
LME04803,SOUTH PORTLAND,155 GANNETT DR,ME,43.63781,-70.357631,796032,"PORTLAND DHS ASSOCIATES, LP",
